时间,商品名称,SKU,品牌,一级类目,二级类目,三级类目,店铺名称,供应商简码,供应商名称,是否售完即止,是否影分身,是否虚拟组套,是否虚拟品类,上下柜状态,上柜时间,是否平行库存,是否赠品,SPU编码,条形码,商品价格,仓网类型,重量,RDC,配送中心,上级B配送中心编码,上级B配送中心名称,库存件数,现货库存,内配在途库存,内配入,内配出,已锁定,可用库存,采购未到货,可订购库存,订单预定,VMI库存,不可售,昨日出库商品件数,近7日出库商品件数,近14日出库商品件数,近28日出库商品件数,7日有货天数,14日有货天数,28日有货天数,30日有货天数,预计可售天数,无货pv,月至今无货pv,PV现货率,月至今pv现货率,月至今退供应商件数,B仓京东可用库存
2,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,广州,,23063,广州补货B,18,18,0,0,0,0,18,0,18,0,0,0,1,12,29,48,7,14,28,30,10.5,0,0,1,1,0,0
3,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,天水,,23410,西安补货B,11,11,0,0,0,0,11,0,11,0,0,0,0,0,6,6,7,14,28,30,51.3,0,0,0,0,0,0
4,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,邢台配送中心,,23412,济南补货B,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,7,14,24,24,20,0,0,0,1,0,0
5,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,广州补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
6,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,北京补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,苏州补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,沈阳补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,武汉补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,西安补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,成都补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,济南补货B,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,徐州FDC配送中心,,23389,苏州补货B,12,12,0,0,0,0,12,0,12,0,0,0,0,3,4,4,7,9,9,9,27,0,0,0,1,0,0
14,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,上海,,23389,苏州补货B,19,19,0,0,0,0,19,32,51,0,0,0,2,12,19,35,7,14,28,30,13.6,0,0,1,1,0,0
15,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,西安,,23410,西安补货B,13,13,0,0,0,0,13,0,13,0,0,0,0,1,3,10,7,14,28,30,121.3,0,0,1,1,0,0
16,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,成都,,23411,成都补货B,20,20,0,0,0,0,20,0,20,0,0,0,5,13,17,34,7,14,28,30,24.3,0,0,1,1,0,0
17,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,武汉,,23409,武汉补货B,31,31,0,0,0,0,31,0,31,0,0,0,0,1,5,13,7,14,28,30,66.8,0,0,1,1,0,0
18,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,杭州,,23389,苏州补货B,9,9,0,0,0,0,9,0,9,0,0,0,0,1,1,5,7,14,28,30,252,0,0,1,1,0,0
19,摩贝恩【超净工厂10倍洁净】宝宝婴儿尿不湿透气呼吸拉拉裤 XL码20片,1.00155286195e+11,摩贝恩（MOBEIEN）,母婴,尿裤,婴童拉拉裤,摩贝恩京东自营旗舰店,jsbyh,江苏邦业护理用品有限公司,否,否,否,否,上柜,2025/03/24 00:00,否,非赠品,1.00197e+11,6.974265474682e+12,79,自营中小件,700,北京,,23217,北京补货B,17,17,0,0,0,0,17,48,65,0,0,0,10,15,32,65,7,14,28,30,7.7,0,0,1,1,0,0
